Species,aphiaID
"Acanthogorgia armata",125348
"Aldrovandia",125837
"Anomia simplex",156737
"Anotopterus pharao",126334
"Astarte",137683
"Asterias",123219
"Astropecten duplicatus",178650
"Balistes capriscus",154721
"Bathynectes maravigna",107377
"Boltenia",103514
"Cancer irroratus",158057
"Chiridota laevis",124434
"Colus",137704
"Conger",125624
"Coryphaenoides",125748
"Crangon",107007
"Ctenodiscus crispatus",123915
"Echinus",123386
"Ensis directus",933783
"Gonatus fabricii",153097
"Gonostomatidae",125601
"Hemitripterus americanus",159518
"Henricia",123276
"Illex illecebrosus",153087
"Lophaster furcifer",124156
"Lumpenus fabricii",127073
"Lycodes terraenova",127117
"Molpadia",123540
"Munida iris",158398
"Musculus",138225
"Photostomias guernei",127372
"Porania pulvillus",125166
"Rossia",138481
"Sergia",106830
"Terebratulina septentrionali",104056
"Vazella pourtalesi",172121
"Venefica procera",158593